fid,ID,layer,path,z_first,vertex_ind,vertex_par,vertex_p_1,distance,angle,X,Y
"15","14",SSS_AusLAMP__120590_7_n_HDS_ln_91606edb_42f4_47dd_bfb0_a3f287f31416,AusLAMP,-120590.0000000000,"0","0","0",0.0000000000,270.0000000000,495265.2312300000,6699999.9999000002
"15","14",SSS_AusLAMP__120590_7_n_HDS_ln_91606edb_42f4_47dd_bfb0_a3f287f31416,AusLAMP,-120590.0000000000,"1","0","1",5265.2310319000,292.5000000000,490000.0002000000,6699999.9999000002
"15","14",SSS_AusLAMP__120590_7_n_HDS_ln_91606edb_42f4_47dd_bfb0_a3f287f31416,AusLAMP,-120590.0000000000,"2","0","2",19407.3667120000,292.5000000000,480000.0001600000,6709999.9999000002
"15","14",SSS_AusLAMP__120590_7_n_HDS_ln_91606edb_42f4_47dd_bfb0_a3f287f31416,AusLAMP,-120590.0000000000,"3","0","3",39068.7985130000,270.0000000000,460338.5683600000,6709999.9999000002
"41","40",SSS_AusLAMP__120590_7_n_HDS_ln_91606edb_42f4_47dd_bfb0_a3f287f31416,AusLAMP,-120590.0000000000,"0","0","0",0.0000000000,270.0000000000,554185.7474100000,6849999.9998000003
"41","40",SSS_AusLAMP__120590_7_n_HDS_ln_91606edb_42f4_47dd_bfb0_a3f287f31416,AusLAMP,-120590.0000000000,"1","0","1",4076.6250571000,270.0000000000,550109.1223500000,6849999.9998000003
"47","46",SSS_AusLAMP__120590_7_n_HDS_ln_91606edb_42f4_47dd_bfb0_a3f287f31416,AusLAMP,-120590.0000000000,"0","0","0",0.0000000000,135.0000000000,437562.5190500000,6812437.4808999998
"47","46",SSS_AusLAMP__120590_7_n_HDS_ln_91606edb_42f4_47dd_bfb0_a3f287f31416,AusLAMP,-120590.0000000000,"1","0","1",3447.1186246000,112.5000000000,440000.0000000000,6810000.0000000000
"47","46",SSS_AusLAMP__120590_7_n_HDS_ln_91606edb_42f4_47dd_bfb0_a3f287f31416,AusLAMP,-120590.0000000000,"2","0","2",13415.5236050000,90.0000000000,449968.4049800000,6810000.0000000000
"47","46",SSS_AusLAMP__120590_7_n_HDS_ln_91606edb_42f4_47dd_bfb0_a3f287f31416,AusLAMP,-120590.0000000000,"3","1","0",13415.5236050000,135.0000000000,463265.6723700000,6796734.3276000004
"47","46",SSS_AusLAMP__120590_7_n_HDS_ln_91606edb_42f4_47dd_bfb0_a3f287f31416,AusLAMP,-120590.0000000000,"4","1","1",37081.4369170000,112.5000000000,480000.0001600000,6779999.9999000002
"47","46",SSS_AusLAMP__120590_7_n_HDS_ln_91606edb_42f4_47dd_bfb0_a3f287f31416,AusLAMP,-120590.0000000000,"5","1","2",47081.4369570000,135.0000000000,490000.0002000000,6779999.9999000002
"47","46",SSS_AusLAMP__120590_7_n_HDS_ln_91606edb_42f4_47dd_bfb0_a3f287f31416,AusLAMP,-120590.0000000000,"6","1","3",51124.9897460000,180.0000000000,490000.0002000000,6775956.4471000005
"47","46",SSS_AusLAMP__120590_7_n_HDS_ln_91606edb_42f4_47dd_bfb0_a3f287f31416,AusLAMP,-120590.0000000000,"7","2","0",51124.9897460000,225.0000000000,483041.4235800000,6753041.4232000001
